4D QL,4D Query Language
5G,5. Generation des Telekommunikations- und Mobilstandards
A/D,Analog-to-Digital
AA,Advanced Analytics
AAAI,Association for the Advancement of Artificial Intelligence
AAC,Advanced Audio Coding
AACS,Advanced Access Content System
AAL,ATM Adaptation Layer
AAL,Active assisted living
AAL,Ambient assisted living
AAM,ATA/ATAPI Architecture Model
ABC,Atanasoff Berry Computer
ABM,Agent-based Modeling
ABP,Autonomous Business Process
ABS,agent-based modeling
ACC,Adaptive Computing (Micro-)Controller
ACD,Automatic Call Distribution
ACE,ASCII Compatible Encoding
ACL,Access Control List
ACM,Association for Computing Machinery
ACO,Ant Colony Optimization
ACPI,Advanced Configuration and Power Interface
ACR,Advanced Communication(s) Riser
ACS,Applied Computer Science
ACS,Azure Cognitive Services
ACS,Azure Container Service
AD,Active Directory
ADAM,Active Directory Application Mode
ADAPT,Application Design for Analytical Processing Technologies
ADB,Android Debug Bridge
ADB,Apple Desktop Bus
ADC,Apple Display Connector
ADDS,Active Directory Domain Services
ADFS,Active Directory Federation Service
ADO,ActiveX Data Objects
ADO,Azure Devops
AEBS,Amazon Elastic Block Store
AEP,AppleTalk Echo Protocol
AES,Advanced Encryption Standard
AES,Advanced Encryption System
AF,Anisotropes Filtern
AFAIK,As far as I Know
AFK,Away from Keyboard
AFP,Apple Filing Protocol
AGP,Accelerated Graphics Port
AI,Artificial Intelligence
AIA,Authority Information Access
AIFF,Audio Interchange File Format
AIM,AOL Instant Messenger
AIR,Adobe Integrated Runtime
AIT,Advanced Intelligent Tape
AJAX,Asynchronous JavaScript and XML
AKS,Azure Kubernetes Service
ALGOL,Algorithic Language
ALU,Arithmetic Logic Unit
ALU,Arithmetic Logic Units
AMA,Ask Me Anything
AMD,Advanced Micro Devices
AMI,Amazon Machine Image
AML,Azure Machine Learning
AMOLED,Active-Matrix Organic Light Emitting Diodes
AMQP,Advanced Message Queuing Protocol
ANN,Artificial Neural Network
ANSI,American National Standards Institute
AOP,Aspektorientierte Programmierung
AOSP,Android Open Source Platform
AP,Access Point
APDU,Application Protocol Data Unit
API,Application Programming Interface
APIC,Advanced Programmable Interrupt Controller
APIPA,Automatic Private IP Addressing
APL,A Programming Language
APL,Abschlusspunkt Linientechnik
APM,Advanced Power Management
APOP,Authenticated Post Office Protocol
APS,Azure Power Shell
APU,Accelerated Processing Unit
AR,Augmented Reality
ARM,Azure Ressource Manager
ARN,Amazon Resource Name
ARP,Address Resolution Protocol
ARPANET,Advanced Research Project Agency Network
ASCII,American Standard Code for Information Interchange
ASG,Auto Scaling Group
ASN,Autonomous System Number
ASPI,Advanced SCSI Programming Interface
ATPG,Automatic Test Pattern Generation
ATX,Advanced Technology Extended
AU,Activation Unit
AUI,Attachment Unit Interface
AV,Anti-Virus
AVI,Audio Video Interleave
AVX,Advanced Vector Extensions
AWS,Amazon Web Services
AZ,Availability Zone
Amazon,ES	Amazon Elasticsearch Service
Amazon,SES	Amazon Simple Email System
B2A,Business-to-Administration
B2B,Business to Business
B2B,Business-to-Business
B2C,Business to Consumer
B2C,Business-to-Consumer
B2E,Business-to-Employee
BASIC,Beginners All-purpose Symbolic Instruction Code
BCD,Binary Coded Decimal
BCPL,Basic Combined Programming Language
BD,Blu-ray Disc
BDC,Backup Domain Controller
BDD,Binary Decision Diagram
BDSG,Bundesdatenschutzgesetz
BER,Basic Encoding Rules
BFD,Bidirectional Forwarding Detection
BGA,Ball Grid Array
BGP,Border Gateway Protocol
BI,Business Intelligence
BIOS,Basic Input Output System
BIOS,Basic Inpute Output System
BIPS,Billions of Instructions Per Second
BLOB,Binary Large Object
BOFH,Bastard Operator From Hell
BOM,Byte Order Mark
BOOTP,Bootstrap Protocol
BPEL,Business Process Execution Language
BPI,Bytes Per Inch
BPO,Business Process Outsourcing
BS/2,Betriebssystem/2
BS2,Betriebssystem/2
BSC,Binary Synchronous Communication
BSD,Berkeley Software Distribution
BSOD,Blue Screen of Death
BTO,Build-to-Order
BTX,Balanced Technology Extended
BYOD,Bring Your Own Device
BiDi,Bidirectional Text Layout
CA,Certificate Authority
CAD,Computer Aided Design
CAE,Computer Aided Engineering
CAN,Campus Area Network
CAN-SPAM,Controlling the Assault of Non-Solicited Pornography and Marketing Act
CAPTCHA,Completely automated public turing test to tell computers and humans apart
CASE,Computer Aided Software Engineering
CAT,Catalog Service
CBSP,Cloud-based Security Providers
CC,Creative Commons
CD,Compact Disk
CD-R,CD-Recordable
CD-ROM,Compact Disk Read Only Memory
CD-RW,CD Read/Write
CDC,Control Data Corporation
CDN,Content Delivery Network
CI/CD,Continous Integration/Continous Deployment
CIDR,Classless Inter-Domain Routing
CL,Command Language
CLI,Command Line Interface
CLI,Command Line Interpreter
CMS,Content Management System
CNAME,Canonical Name
CNN,Convolutional Neural Network
COBOL,Common Business Oriented
CODASYL,Conference On Data Systems
CORS,Cross-Origin Resource Sharing
CPC,Cost Per Click
CPL,Cost Per Lead
CPM,Cost Per Thousand Impressions
CPU,Central Processing Unit
CR,Conversion Rate
CRM,Customer Relationship Management
CRO,Conversion Rate Optimization
CRT,Cathode Ray Tube
CS,Cognitive Services
CSP,Content Security Policy
CSR,Certificate Signing request
CSRF,Cross-Site Request Forgery
CSS,Cascading Style Sheets
CTA,Call to Action
CTC,Connectionist Temporal Classification
CTR,Click Through Rate
CTS,Click-Through Rate
CV,Computer Vision
CVSS,Common Vulnerability Scoring System
CWE,Common Weakness Enumeration
CX,Customer Experience
D/A,Digital-to-Analog
D2D,Device to Device
DA,Domain Authority
DAE,Digital Audio Extraction
DAL,Data Abstraction Layer
DAO,Data Access Objects
DAST,Dynamic Application Security Testing
DAT,Digital Audio Tape
DAU,Dümmster anzunehmender User
DBMS,Data Base Management System
DBS,Demand Based Switching
DC,Data Center
DDL,Data Definition Language
DDS,Digital Data Storage
DDoS,Distributed Denial Of Services
DEC,Digital Equipment Corporation
DES,Data Encryption Standard
DHCP,Dynamic Host Configuration Protocol
DKIM,Domain Keys Identified Mail
DM,Direct Message
DMA,Direct Memory Access
DMARC,Domain-based Message Authentication Reporting and Conformance
DMCA,Digital Millennium Copyright Act
DML,Data Manipulation Language
DMS,Database Migration Service
DNA,Digital Network Architecture
DNS,Domain Name System
DNSSEC,Domain Name System Security Extensions
DOM,Document Object Model
DOS,Denial of Services
DPI,Dots Per Inch
DQL,Data Query Language
DRAM,Dynamic RAM
DRDA,Distributed Relational Database Architecture
DRS,Distributed Resource Scheduler
DSA,Digital Signature Algorithm
DSBS,Dual Sensor Brake Support
DSGVO,Datenschutz-Grundverordnung
DSN,Distributed Systems Network
DT,Directory Traversal
DTS,Digital Theater System
DVA,Datenverarbeitungsanlage
DVD,Digital Versatile Disc
DVD,Digital Video/Versatile Disk
DW,Data Warehouse
DaaS,Desktop-as-a-Service
EBCDIC,Extended Binary Coded Decimal Interchange Code
EBS,Elastic Block Store
EC2,Elastic Compute Cloud
ECS,EC2 Container Service
EDSAC,Electronic Delay Storage Automatic Calculator
EDV,Elektronische Daten Verarbeitung
EDVAC,Electronic Discrete Variable Automatic Calculator
EFM,Eight-to-Fourteen Modulation
EFS,Elastic File System
EFS,Encrypting File System
EIP,Elastic IP
ELB,Elastic Load Balancer
EMR,Elastic Map Reduce
EMV,Enhanced Motion Vehicle
EMV,Europay + Mastercard + Visa
ENI,Elastic Network Interface
ENIAC,Electronic Numerical Integrator And Calculator
EOF,End Of File
